uri,total_count,sources
https://soilwise-he.github.io/soil-health#SoilMechanicalBehaviour,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#Gullies,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#SoilLayers,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#OrganicMatterAccumulation,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#Podsols,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#AnthropogenicErosion,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#Fertiliser,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#OrganicMaterial,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#Metalloids,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#NImmobilisation,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#SoilFaunalCommunities,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#NitrogenAvailability,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilCarbonPools,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#Macrofauna,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilNutrientAccumulation,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#ForestLand,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#MicrobialCarbon,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#SOCDecomposition,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#SOMCNRatio,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#FrostHeave,3,"gpt-4.1, gpt-4o, thesauri"
https://soilwise-he.github.io/soil-health#Necrosols,3,"gpt-4.1, gpt-4o, keywords"
