prefLabel,altLabels,displayName,uri,confidence
Rhizobium meliloti,,Rhizobium meliloti,http://aims.fao.org/aos/agrovoc/c_27354,N/A
Rhizobium phaseoli,,Rhizobium phaseoli,http://aims.fao.org/aos/agrovoc/c_27355,N/A
Rhizobium trifolii,,Rhizobium trifolii,http://aims.fao.org/aos/agrovoc/c_27356,N/A
Rhizobium vitis,Agrobacterium vitis,Rhizobium vitis (Agrobacterium vitis),http://aims.fao.org/aos/agrovoc/c_1421160573126,N/A
rhizobitoxine,,rhizobitoxine,http://aims.fao.org/aos/agrovoc/c_6562,N/A
Rhodospirillum rubrum,,Rhodospirillum rubrum,http://aims.fao.org/aos/agrovoc/c_27600,N/A
sedimentary rocks,,sedimentary rocks,http://aims.fao.org/aos/agrovoc/c_d4682eaf,N/A
resistance to penetration,,resistance to penetration,http://aims.fao.org/aos/agrovoc/c_6f5b0d4a,N/A
moisture content,water content,moisture content (water content),http://aims.fao.org/aos/agrovoc/c_4886,N/A
catch crops,stubble crops,catch crops (stubble crops),http://aims.fao.org/aos/agrovoc/c_29684,N/A
mires,quagmires,mires (quagmires),http://aims.fao.org/aos/agrovoc/c_c46933b9,N/A
paludiculture,,paludiculture,http://aims.fao.org/aos/agrovoc/c_8227f12d,N/A
serpentine soils,,serpentine soils,http://aims.fao.org/aos/agrovoc/c_6986,N/A
volcanic materials,,volcanic materials,http://aims.fao.org/aos/agrovoc/c_24121,N/A
Acrisols,ultisols,Acrisols (ultisols),http://aims.fao.org/aos/agrovoc/c_101,N/A
Alisols,,Alisols,http://aims.fao.org/aos/agrovoc/c_479c499a,N/A
Andosols,andic soils; andisols,"Andosols (andic soils, andisols)",http://aims.fao.org/aos/agrovoc/c_404,N/A
Arenosols,,Arenosols,http://aims.fao.org/aos/agrovoc/c_601,N/A
Calcisols,,Calcisols,http://aims.fao.org/aos/agrovoc/c_ea60e31f,N/A
Cambisols,,Cambisols,http://aims.fao.org/aos/agrovoc/c_1224,N/A
Chernozems,black soil,Chernozems (black soil),http://aims.fao.org/aos/agrovoc/c_1533,N/A
Cryosols,,Cryosols,http://aims.fao.org/aos/agrovoc/c_829043c3,N/A
Durisols,,Durisols,http://aims.fao.org/aos/agrovoc/c_51ec138f,N/A
Ferralsols,laterite soils; latosols; oxisols,"Ferralsols (laterite soils, latosols, oxisols)",http://aims.fao.org/aos/agrovoc/c_2858,N/A
Kastanozems,,Kastanozems,http://aims.fao.org/aos/agrovoc/c_4079,N/A
Leptosols,,Leptosols,http://aims.fao.org/aos/agrovoc/c_da0af025,N/A
Lixisols,,Lixisols,http://aims.fao.org/aos/agrovoc/c_7283bd0a,N/A
Luvisols,alfisols,Luvisols (alfisols),http://aims.fao.org/aos/agrovoc/c_4470,N/A
Nitosols,nitisols,Nitosols (nitisols),http://aims.fao.org/aos/agrovoc/c_5185,N/A
